貼文時間,貼文ID,貼文內容,分享內容,讚數,分享數
2015-05-23 08:27:41+00:00,211037402285285_885987118123640,"犀利趴連續五年都是賠本舉辦，但我們依然開心迎接第六屆，除了延續為新樂團提供舞台的""未來趴""，繼續邀請大家憑大趴門票免費入場，為新樂團加油。
_
今年的大趴，更在艾姐與勇志的帶領下＋全體相信音樂的動員中，一舉把大趴擴增到三天，至於參戰名單，只有一個原則... 
.
就是要大家一句：「有需要這樣嗎！？」（╯－＿－）╯╧╧ 
_
我們犀利趴見！
★8/7pm5 五月天｜ELLA｜丁噹｜林憶蓮｜米希亞 
★8/8pm3 宇宙人｜SuzanneVega｜四分衛｜氣志團｜五月天｜阿密特 
★8/9pm3 脫拉庫｜徐佳瑩｜Slot Machine｜MP｜Carly Rae Jepsen｜五月天
★犀利啥小趴、犀利閃電趴、犀利趴外趴：http://smarturl.it/superslippa6",五月天 阿信 shared 超犀利趴's video.,37594,0
2015-05-22 15:26:54+00:00,211037402285285_885470561508629,"[ 地鼠的日子 ]  打造創作的日子，在地下錄音室是分不清日夜的。兩個便當、三杯咖啡、很容易就過了一天，但心靈是滿足與期待的。 
.
前幾天爬出洞穴開會，公司夥伴都開心著，原來是MP終於入圍了金曲獎。「MP算不算樂團？」那年第一次聽到MP，是在阿凱傾力建造的 "" 硬搞練團室 "" 。阿凱從潑猴樂團來當五月天技師的年代，迷糊搞笑大而化之，殊不知原來有這麼大的音樂夢想。
.
阿凱建造練團室讓支持許多樂團，自己也徵招了好友組了MP。「MP時尚光鮮嗎？」如果你是在他們錄音間遇到他們，你不會這麼認為的。如同五月天，他們親手打造他們音樂中的每個細節，這幾個穿著踢恤與脫鞋的小伙子，只有談論音樂的時候，眼神會突然發光。
.
他們的 Band Sound 流竄著電氣與創意，但樂器演奏功力一樣穩扎穩打，他們的詞曲才華洋溢佳作不斷，藉著一首首的作品，從質疑裡慢慢走出自己的路。時代，也許都是在懷疑與爭議裡不知不覺翻新的。
.
在隔音緊密的錄音室裡，一向都聽不到太多外界的聲音，但自我的要求與熱情，卻更是聽的清清楚楚。
.
都說入圍就是得獎，我則認為，只要用力以赴，就是得獎。那些「地鼠的日子」，我想每個玩音樂的人都懂的。
.
https://www.facebook.com/ashin555",,72306,554
2015-05-13 11:53:56+00:00,211037402285285_880936645295354,來決鬥吧！ (`●__●ˊ) /（拿起計算機）,五月天 阿信 shared 五月天 Mayday's post.,122479,3
2015-05-10 05:57:23+00:00,211037402285285_879645015424517,"當她還是個女孩時，
和我們一樣擁有青春、偶像、愛與夢想。
.
後來，她藏起女孩的身分，
只為了一個24小時隨時需要吃奶跟便便的臭嬰兒，直到現在。 
.
她終於可以變回女孩了，夢想，卻只剩下長大的你。 
她正在等你說：媽，______ 。",五月天 阿信 shared 五月天 Mayday's photo.,93822,1
2015-05-06 01:45:45+00:00,211037402285285_1593349867593274,"第一場：2015年8月28日(五)  18:00開場/19:00開演 
第二場：2015年8月29日(六)  16:00開場/17:00開演

唯一票價：全指定席　8,500?（含稅）
開始售票：7月19日（日）
洽詢電話：DISK GARAGE：050-5533-0888（平日12:00～19:00） 

MAYDAY日本官方網站：http://www.mayday.jp/justrockit/?tw/",五月天 阿信 added an event.,18498,0
2015-05-05 15:02:27+00:00,211037402285285_877478998974452,"2015 年 5 月 5 日，
一個特殊而值得紀念的日子，
而
.
.
.
.
. . .
 
我在最後一個小時左右發現了這件事。

＃熬夜寫歌對頭腦的傷害好像很大阿
＃不過悶著頭創作也是很有意義的慶祝方式耶",五月天 阿信 is feeling determined.,117067,577
2015-05-01 12:17:13+00:00,211037402285285_875582622497423,五月的第一天 : D,,174040,832
2015-04-26 10:35:05+00:00,211037402285285_872777682777917,"送給妳祝福、期待、和一雙翅膀，
妳跟瑪莎負責給世界一場動人的演唱會。: D
.",五月天 阿信 shared 家家（Jia)'s photo.,53907,0
2015-04-24 10:51:07+00:00,211037402285285_871602742895411,"[ 水龍頭是不是在漏水？ ]

小時候，有陣子洗完手，都覺得水龍頭沒有關好，就會回洗手台前把它旋緊。回房間後，又一直覺得 ""好像關得不夠緊""，""是不是還在滴水？""...。後來看了書，才知道這個叫強迫症。
.
不過大家不要擔心，後來有天看到水電工來換水龍頭，才知道它被我弄壞了，那天起，我的這個怪癖就不藥而癒了。
.
好了，不跟你們聊了，我得去關一下水龍頭，好像聽到滴水聲了。",,102728,529
2015-04-20 01:45:42+00:00,211037402285285_869549299767422,地震好大  ＠_＠ （大家都好嗎？）,,230462,453
2015-04-16 14:39:35+00:00,211037402285285_867765563279129,"我：我可以要一件復仇者的T恤嗎？
他們：自己去想辦法噢阿信哥。
_
我：......  ( ╬ ￣皿￣) ╯  ╧╧   （想知道「他們」是誰嗎？）",五月天 阿信 shared STAYREAL's post.,63592,0
2015-04-12 02:16:26+00:00,211037402285285_865451740177178,"[ 來當我的窗戶吧。 ] 

過去八天，都在錄音室裡寫著歌。晨昏顛倒，日夜旋繞，有時候想來跟你們說說話，但重複單調的日子好像沒什麼可以跟你們分享。（會像這樣：大家好我今天在寫東西，大家好我今天在寫東西，大家好我今天...... ）

那，換你們跟我說說，這週你們發生了什麼事，來當我的窗戶吧。: )",,112409,468
2015-04-04 14:48:48+00:00,211037402285285_861818500540502,"半年前，一個秘密的夜晚，他們帶著十首demo，來到大雞腿找我，當時只是雛形的作品已是結構精采、概念動人。半年後，三位不搭飛行器的 宇宙人，用雙腳爬上喜瑪拉雅山，用雙手帶回完成的這張新作。
_
月全蝕的今晚，我聽到了第一首......。
_
KKBox http://goo.gl/n20X8x
iTunes https://itun.es/tw/1KGr6
彎的音樂 Wonder Music |  宇宙人 小玉 | 宇宙人 阿奎 | 宇宙人 方Ｑ",五月天 阿信 shared a link.,55584,0
2015-03-31 23:58:15+00:00,211037402285285_860026397386379,"下定決心換了全新的造型，
你們覺得會不會太失控了？

會不會啊？",,101988,1226
2015-03-30 13:17:26+00:00,211037402285285_859330494122636,"五月天的 2015 年，寫歌，錄音，還有 ...... 

info : http://www.fb.com/notes/1377715058958259/",,84384,823
2015-03-29 10:07:36+00:00,211037402285285_858756447513374,"盡在不言中 : )

photo by Cudown",,127180,641
2015-03-28 14:14:08+00:00,211037402285285_858317350890617,早安，大西洋城，現在早上十點十分。,,118978,252
2015-03-24 11:03:22+00:00,211037402285285_856253864430299,"沒有海綿寶寶杯麵，

為什麼！（╯－＿－）╯╧╧",五月天 阿信 shared STAYREAL's post.,109080,0
2015-03-22 23:00:28+00:00,211037402285285_855133161209036,下大雨了。,,148962,259
2015-03-21 14:41:13+00:00,211037402285285_854326091289743,"如果寂寞，
就聽一次吧。（認真）",,68125,1228
2015-03-19 00:18:55+00:00,211037402285285_852507874804898,早安！,,121359,173
2015-03-11 14:16:46+00:00,211037402285285_847962018592817,"831 第三張最喜歡的一首，
但太洗腦不要隨便點進去聽。   
_
https://www.facebook.com/video.php?v=10153248343774341&set=vl.1626096320945262
點點看阿 ?(¯﹃¯?) ?(¯﹃¯?)",五月天 阿信 shared 八三夭 831's video.,56939,2
2015-03-10 13:58:36+00:00,211037402285285_847294328659586,"寫歌不孤單。
_
( 猜這把吉他寫出什麼歌？ )",,213958,1497
2015-03-08 14:22:13+00:00,211037402285285_845990805456605,"我 / 就算壯烈前世 / 征服滾滾亂世 / 萬人為我寫詩，
而 / 幸福卻是此時 / 靜靜幫你提著 / 哈囉凱蒂袋子。",五月天 阿信 shared 五月天 Mayday's video.,56580,3
2015-03-07 13:58:00+00:00,211037402285285_845372435518442,今晚 : ),五月天 阿信 shared 五月天 Mayday's video.,59395,0
2015-03-06 14:03:50+00:00,211037402285285_844786172243735,"謝謝大家熱情參與。
_
然後... 不二良你為什麼要偷穿我的鞋。？",五月天 阿信 shared STAYREAL's post.,54115,0
2015-03-05 11:33:50+00:00,211037402285285_844154805640205,"他們都說
這是我演技最好的一次。",五月天 阿信 shared 五月天 Mayday's video.,65880,5
2015-03-03 14:31:26+00:00,211037402285285_843292572393095,"地球的另一面，
成軍日的前一天，
凌晨一點的演唱會。

mayday 2015 [ Just Rock It ]  -  2015/3/29 1:00AM (3/28 25:00)  -   Boardwalk Hall, Atlantic City",五月天 阿信 shared 相信音樂國際股份有限公司's note.,31189,0
2015-02-28 07:21:19+00:00,211037402285285_841660469222972,"一件禮服的顏色被熱烈討論，將近各一半的人，分成兩個陣營，分別看到了兩種的配色。奇怪的是，無論我怎麼看，竟然都看不見對方說的「顏色」。

科學說法是背景影響了白平衡，後來想想，每個人生背景，都生成了不同的人生白平衡：「我們其實都被決定過」。也許重點不在哪種配色才真確，而是你願意理解差異如何形成，並且以心去感受對方的不同。

pic from NewYork Times
https://www.facebook.com/ashin555",五月天 阿信 added 3 new photos.,133139,4870
2015-02-26 23:28:51+00:00,211037402285285_841007975954888,早安！,,152968,192
2015-02-24 03:27:28+00:00,211037402285285_839757022746650,"開工大吉，
祝你有進擊的鼓手一般的  進擊意志力！
_
www.facebook.com/ashin555",,169755,1589
2015-02-20 11:12:50+00:00,211037402285285_837836509605368,"結果是，冷不防被問：
.
你新專輯什麼時候寫好啊？  （╯－＿－）╯╧╧",五月天 阿信 shared their photo.,117887,0
2015-02-19 11:11:37+00:00,211037402285285_837205119668507,"與不二良給大家奉上標準而經典的拜年姿勢：
新 . 年 .  快 . 樂  : D 
_
ps. 結果昨天我還是中招了，你們呢？",五月天 阿信 shared STAYREAL's post.,86691,0
2015-02-18 09:55:45+00:00,211037402285285_836583063064046,"給各位敬愛的長輩親戚們，
一個完美過年  不要問孩子的事有...... 。  (請參考)
_
無論如何，有你們真好，新年快樂！",,380944,20965
